Brth15to17,Brth18to19,ViolCrime,PovPct
31.5,88.7,11.2,20.1
18.9,73.7,9.1,7.1
35,102.5,10.4,16.1
31.6,101.7,10.4,14.9
22.6,69.1,11.2,16.7
26.2,79.1,5.8,8.8
14.1,45.1,4.6,9.7
24.7,77.8,3.5,10.3
44.8,101.5,65,22
23.2,78.4,7.3,16.2
31.4,92.8,9.5,12.1
17.7,66.4,4.7,10.3
18.4,69.1,4.1,14.5
23.4,70.5,10.3,12.4
22.6,78.5,8,9.6
16.4,55.4,1.8,12.2
21.4,74.2,6.2,10.8
26.5,84.8,7.2,14.7
31.7,96.1,17,19.7
11.9,45.2,2,11.2
20,59.6,11.8,10.1
12.5,39.6,3.6,11
18,60.8,8.5,12.2
14.2,47.3,3.9,9.2
37.6,103.3,12.9,23.5
22.2,76.6,8.8,9.4
17.8,63.3,3,15.3
18.3,64.2,2.9,9.6
28,96.7,10.7,11.1
8.1,39,1.8,5.3
14.7,46.1,5.1,7.8
37.8,99.5,8.8,25.3
15.7,50.1,8.5,16.5
28.6,89.3,9.4,12.6
11.7,48.7,0.9,12
20.1,69.4,5.4,11.5
30.1,97.6,12.2,17.1
18.2,64.8,4.1,11.2
17.2,53.7,6.3,12.2
19.6,59,3.3,10.6
29.2,87.2,7.9,19.9
17.3,67.8,1.8,14.5
28.2,94.2,10.6,15.5
38.2,104.3,9,17.4
17.8,62.4,3.9,8.4
10.4,44.4,2.2,10.3
19,66,7.6,10.2
16.8,57.6,5.1,12.5
21.5,80.7,4.9,16.7
15.9,57.1,4.3,8.5
17.7,72.1,2.1,12.2
